City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,cockburn town,21.4612,-71.1419,27.57,71,1,10.12,TC,1698362082
303,fengcheng,40.4536,124.0717,4.64,40,0,2.27,CN,1698362083
304,barika,35.389,5.3658,19.43,39,62,0.95,DZ,1698362083
305,pisco,-13.7,-76.2167,20.03,83,100,1.54,PE,1698362083
306,hithadhoo,-0.6,73.0833,27.39,78,38,7.68,MV,1698362083
307,kristiansund,63.1115,7.732,1.36,75,58,1.54,NO,1698362083
308,kyaikkami,16.08,97.5675,25.99,88,100,3.13,MM,1698362084
309,pasuquin,18.3328,120.6177,25.97,89,40,2.06,PH,1698362084
310,mejit,10.2753,170.8646,28.25,75,14,5.08,MH,1698362084
311,porangatu,-13.4408,-49.1486,23.18,85,99,1.67,BR,1698362084
312,deqing,30.5448,119.9599,17.75,77,63,0.64,CN,1698362085
313,betio village,1.358,172.9211,28.02,76,61,3.68,KI,1698362085
314,kidal,18.4411,1.4078,28.1,12,55,3.56,ML,1698362085
315,ancud,-41.8697,-73.8203,10.35,88,100,4.85,CL,1698362085
316,jayapura,-2.5333,140.7,29.66,89,99,2.36,ID,1698362085
317,mercedes,-34.6515,-59.4307,19.36,48,25,3.56,AR,1698361809
318,arvayheer,46.2639,102.775,2.45,28,44,3.29,MN,1698362086
319,ca mau,9.1769,105.15,24.43,93,83,1.11,VN,1698362086
320,arno,60.1167,18.6333,3.21,79,100,4.73,SE,1698362086
321,taltal,-25.4,-70.4833,15.8,75,19,1.48,CL,1698362086
322,yakutsk,62.0339,129.7331,-13.02,92,100,0.0,RU,1698362087
323,terrace,54.5163,-128.6035,9.01,31,20,4.12,CA,1698362087
324,pozanti,37.4278,34.8717,17.34,50,100,0.29,TR,1698362087
325,inverell,-29.7833,151.1167,17.28,57,87,4.02,AU,1698362087
326,weno,7.4515,151.8468,30.97,79,75,3.09,FM,1698362087
327,mount gambier,-37.8333,140.7667,12.4,57,9,3.22,AU,1698362088
328,dalbandin,28.8947,64.4101,24.3,28,97,2.83,PK,1698362088
329,irkutsk,52.2978,104.2964,5.72,87,0,5.0,RU,1698362088
330,usogorsk,63.4106,48.6872,-3.52,83,100,2.69,RU,1698362088
331,palmer,42.1584,-72.3287,20.51,73,75,0.0,US,1698362089
332,talnakh,69.4865,88.3972,-16.85,93,35,0.94,RU,1698362089
333,lompoc,34.6391,-120.4579,23.21,69,20,10.73,US,1698361837
334,otjimbingwe,-22.35,16.1333,21.44,43,26,1.84,NA,1698362089
335,timmins,48.4669,-81.3331,3.9,93,100,5.66,CA,1698362089
336,bweyogerere,0.3558,32.6672,18.5,96,65,0.61,UG,1698362090
337,ad dabbah,18.05,30.95,29.84,19,47,5.79,SD,1698362090
338,lycksele,64.5954,18.6735,-5.07,93,75,0.0,SE,1698362090
339,maricopa,33.0581,-112.0476,29.12,33,0,3.09,US,1698362090
340,nacozari de garcia,30.3742,-109.6908,23.71,26,0,3.72,MX,1698362090
341,juneau,58.3019,-134.4197,7.0,81,20,2.57,US,1698362091
342,kyakhta,50.3508,106.4494,0.75,58,93,1.33,RU,1698362091
343,kalmunai,7.4167,81.8167,24.91,85,75,1.62,LK,1698362091
344,lorengau,-2.0226,147.2712,27.55,80,78,2.04,PG,1698362091
345,kavieng,-2.5744,150.7967,27.74,76,100,0.54,PG,1698362091
346,tidjikja,18.5564,-11.4271,29.52,20,12,4.89,MR,1698362092
347,ciudad lazaro cardenas,17.9583,-102.2,27.72,83,98,4.15,MX,1698361862
348,smithers,54.7804,-127.1743,3.18,41,0,1.03,CA,1698362092
349,port sudan,19.6175,37.2164,29.25,72,77,2.11,SD,1698362092
350,es castell,39.8795,4.2854,22.38,83,0,8.75,ES,1698362092
351,bam,29.106,58.357,22.5,37,100,4.61,IR,1698362093
352,grand-bassam,5.2118,-3.7388,25.98,91,88,2.76,CI,1698362093
353,solnechnyy,50.7214,136.6319,0.57,74,4,0.78,RU,1698362093
354,kone,-21.0595,164.8658,25.89,75,98,2.68,NC,1698362093
355,amarante do maranhao,-5.5667,-46.7422,29.79,41,30,2.36,BR,1698362094
356,timbuktu,16.7735,-3.0074,30.54,9,74,3.61,ML,1698362094
357,naracoorte,-36.9579,140.7383,13.28,48,3,3.8,AU,1698362094
358,sibolga,1.7427,98.7792,24.03,95,100,0.74,ID,1698362094
359,makary,12.5717,14.4666,27.39,41,7,4.37,CM,1698362094
360,tyukhtet,56.5389,89.3011,0.76,81,96,9.16,RU,1698362095
361,alice springs,-23.7,133.8833,16.75,16,0,7.2,AU,1698361825
362,hastings,50.8552,0.5729,12.51,51,100,3.94,GB,1698361970
363,cabo san lucas,22.8909,-109.9124,27.61,53,0,5.14,MX,1698362030
364,lae,-6.7221,146.9847,28.51,65,91,0.64,PG,1698362095
